Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
110001 Alta Floresta D'Oeste;31870;25951;24054,,
110037 Alto Alegre dos Parecis;-;12425;12758,,
110040 Alto Paraíso;-;12174;17098,,
110034 Alvorada D'Oeste;20956;19745;16677,,
110002 Ariquemes;83208;71874;89635,,
110045 Buritis;-;24649;32206,,
110003 Cabixi;8064;7488;6298,,
110060 Cacaulândia;-;5324;5719,,
110004 Cacoal;78752;73271;78282,,
110070 Campo Novo de Rondônia;-;11310;12612,,
110080 Candeias do Jamari;-;12876;19698,,
110090 Castanheiras;-;4190;3546,,
110005 Cerejeiras;21515;18135;16934,,
110092 Chupinguaia;-;5472;8033,,
110006 Colorado do Oeste;38859;21563;18524,,
110007 Corumbiara;-;10410;8626,,
110008 Costa Marques;10164;10060;13466,,
110094 Cujubim;-;6464;15744,,
110009 Espigão D'Oeste;22967;25154;28538,,
110100 Governador Jorge Teixeira;-;12527;10480,,
110010 Guajará-Mirim;32311;37515;40012,,
110110 Itapuã do Oeste;-;6758;8473,,
110011 Jaru;63357;53369;51739,,
110012 Ji-Paraná;97113;105816;115740,,
110013 Machadinho D'Oeste;16370;22237;30996,,
110120 Ministro Andreazza;-;11079;10342,,
110130 Mirante da Serra;-;12571;11874,,
110140 Monte Negro;-;12079;14008,,
110014 Nova Brasilândia D'Oeste;15748;16578;19645,,
110033 Nova Mamoré;7142;14431;22306,,
110143 Nova União;-;8203;7483,,
110050 Novo Horizonte do Oeste;-;12221;10199,,
110015 Ouro Preto do Oeste;83140;40670;37685,,
110145 Parecis;-;3395;4758,,
110018 Pimenta Bueno;48307;31464;33554,,
110146 Pimenteiras do Oeste;-;2518;2277,,
110020 Porto Velho;285139;332240;419909,,
110025 Presidente Médici;29991;26145;22199,,
110147 Primavera de Rondônia;-;4290;3497,,
110026 Rio Crespo;-;2920;3285,,
110028 Rolim de Moura;59485;47097;50230,,
110029 Santa Luzia D'Oeste;12262;11539;8836,,
110148 São Felipe D'Oeste;-;6922;5995,,
110149 São Francisco do Guaporé;-;10897;15976,,
110032 São Miguel do Guaporé;19153;23658;21699,,
110150 Seringueiras;-;11537;11475,,
110155 Teixeirópolis;-;5611;4849,,
110160 Theobroma;-;10357;10316,,
110170 Urupá;-;14779;12911,,
110175 Vale do Anari;-;7648;9370,,
110180 Vale do Paraíso;-;9761;8182,,
110030 Vilhena;38975;53465;75472,,
120001 Acrelândia;-;7913;12489,,
120005 Assis Brasil;2904;3418;6017,,
120010 Brasiléia;19846;16902;21275,,
120013 Bujari;-;5794;8420,,
120017 Capixaba;-;5168;8762,,
120020 Cruzeiro do Sul;66179;66358;77956,,
120025 Epitaciolândia;-;10773;15005,,
120030 Feijó;17488;26159;32251,,
120032 Jordão;-;4269;6555,,
120033 Mâncio Lima;10207;10743;15128,,
120034 Manoel Urbano;5298;6348;7941,,
120035 Marechal Thaumaturgo;-;8240;14170,,
120038 Plácido de Castro;15412;14859;17132,,
120080 Porto Acre;-;11237;14842,,
120039 Porto Walter;-;5449;9088,,
120040 Rio Branco;195825;251573;333241,,
120042 Rodrigues Alves;-;7864;14343,,
120043 Santa Rosa do Purus;-;2246;4676,,
120050 Sena Madureira;24140;29331;37834,,
120045 Senador Guiomard;17376;19359;20054,,
120060 Tarauacá;27630;25732;35397,,
120070 Xapuri;12295;11894;16034,,
130002 Alvarães;8433;12054;14043,,
130006 Amaturá;4650;7189;9367,,
130008 Anamã;5986;6485;10174,,
130010 Anori;8981;11159;16252,,
130014 Apuí;5516;13709;17898,,
130020 Atalaia do Norte;7973;9857;15071,,
130030 Autazes;15989;23680;31951,,
130040 Barcelos;10213;22097;23103,,
130050 Barreirinha;16230;22290;27211,,
130060 Benjamin Constant;16538;22694;32923,,
